name,pos_cycle,plast,plast_2,JSD
13_ZEB-miR200_2-0,2,0.1489,0.3509,0.540616624
4_ZEB-GRHL2_2-1,2,0.1825,0.2621,0.531262406
6_ZEB-miR200_2-1,2,0.0663,0.2868,0.250214253
11_ZEB-GRHL2_2-0,2,0.2581,0.3344,0.18757848
28_miR200-GRHL2_0_2,3,0.3553,0.4794,0.121075133
26_ZEB-SNAIL_0_2,3,0.1856,0.3766,0.05828718
5_ZEB-ZEB_1-2,2,0.1153,0.1816,0.054339355
7_miR200-ZEB_2-1,2,0.1984,0.3244,0.048320039
20_GRHL2-miR200_0_2,3,0.2503,0.4465,0.04449109
16_GRHL2-GRHL2_0_2,3,0.3746,0.4631,0.035241946
1_GRHL2-ZEB_2-1,2,0.1851,0.2671,0.031177791
17_GRHL2-SNAIL_0_1,3,0.2503,0.4262,0.029628859
21_SNAIL-GRHL2_0_1,3,0.4317,0.5472,0.029139587
32_miR200-miR200_0_2,3,0.3456,0.4923,0.027598439
29_miR200-SNAIL_0_1,3,0.2913,0.4617,0.017540485
25_ZEB-SNAIL_0_1,5,0.7684,0.8033,0.017358345
15_GRHL2-GRHL2_0_1,4,0.4891,0.6877,0.011659698
10_SNAIL-miR200_2-0,3,0.5465,0.5914,0.010570419
18_GRHL2-SNAIL_0_2,5,0.6312,0.6802,0.010288995
19_GRHL2-miR200_0_1,4,0.5541,0.6045,0.009212494
27_miR200-GRHL2_0_1,4,0.4635,0.5555,0.009164592
12_ZEB-ZEB_1-0,2,0.2454,0.3272,0.005824469
30_miR200-SNAIL_0_2,5,0.6614,0.7198,0.005631093
22_SNAIL-GRHL2_0_2,3,0.3858,0.4704,0.00484792
14_miR200-ZEB_2-0,2,0.318,0.4389,0.004348533
3_SNAIL-miR200_2-1,3,0.4921,0.5984,0.004208779
23_SNAIL-SNAIL_0_1,4,0.4765,0.6009,0.004022113
8_GRHL2-ZEB_2-0,2,0.2978,0.3738,0.003508388
2_SNAIL-ZEB_1-2,3,0.461,0.5759,0.003426785
31_miR200-miR200_0_1,4,0.5389,0.6364,0.002079051
9_SNAIL-ZEB_1-0,3,0.5193,0.6317,0.001418783
24_SNAIL-SNAIL_0_2,3,0.4615,0.5723,0.000239072
WT,3,0.4379,0.5434,0
