name,pos_cycle,plast,plast_2,JSD
1_Oct4-miR145_2-0,3,0.2802,0.4596,0.028159381391616
2_Oct4-miR145_2-1,3,0.2665,0.3944,0.0469974884769578
3_Oct4-miR200_1-0,4,0.4541,0.6419,0.0481945542676901
4_Oct4-miR200_1-2,5,0.5396,0.6427,0.0902017197577517
5_SNAIL-ZEB_1-0,4,0.3754,0.6528,0.00114191680386059
6_SNAIL-ZEB_1-2,4,0.3457,0.6068,0.00404401582042653
7_SNAIL-miR200_2-0,4,0.3656,0.624,0.00524640985504499
8_SNAIL-miR200_2-1,4,0.3645,0.632,0.00372127759309023
9_ZEB-ZEB_1-0,3,0.1813,0.4187,0.00483454526483872
10_ZEB-ZEB_1-2,3,0.1092,0.3258,0.038169929494008
11_ZEB-miR145_2-0,3,0.2667,0.4604,0.0756013724607351
12_ZEB-miR145_2-1,4,0.2485,0.4127,0.235869396803142
13_ZEB-miR200_2-0,3,0.1441,0.4593,0.150069970481981
14_ZEB-miR200_2-1,3,0.1171,0.4451,0.146042748335644
15_miR145-Oct4_2-0,3,0.36,0.4954,0.115804556534131
16_miR145-Oct4_2-1,4,0.4146,0.5014,0.301798871592368
17_miR145-ZEB_2-0,3,0.2362,0.431,0.0164132287630612
18_miR145-ZEB_2-1,3,0.152,0.3256,0.0750902341236913
19_miR200-ZEB_2-0,3,0.2685,0.563,0.00841368203404754
20_miR200-ZEB_2-1,4,0.216,0.5212,0.0331162218118511
21_Oct4-Oct4_0_1,5,0.3838,0.7415,0.0176964098296039
22_Oct4-Oct4_0_2,4,0.323,0.5357,0.0227311157777708
23_Oct4-SNAIL_0_1,6,0.445,0.6525,0.0142767518795519
24_Oct4-SNAIL_0_2,4,0.231,0.5032,0.02631449116004
25_Oct4-ZEB_0_1,5,0.3441,0.6427,0.00753635290764944
26_Oct4-ZEB_0_2,4,0.243,0.4905,0.0119185419990169
27_SNAIL-Oct4_0_1,4,0.3323,0.574,0.003745955472715
28_SNAIL-Oct4_0_2,4,0.2989,0.579,0.0211884487073705
29_SNAIL-SNAIL_0_1,5,0.3943,0.6602,0.00672814484911027
30_SNAIL-SNAIL_0_2,4,0.3229,0.5905,0.000375304607436286
31_SNAIL-miR145_0_1,4,0.3104,0.5742,0.0121907037067619
32_SNAIL-miR145_0_2,4,0.2937,0.5108,0.00206651984137939
33_ZEB-Oct4_0_1,5,0.2689,0.558,0.0266561424321661
34_ZEB-Oct4_0_2,5,0.3985,0.6019,0.171023025780498
35_ZEB-SNAIL_0_1,6,0.5983,0.8042,0.0143998110859549
36_ZEB-SNAIL_0_2,4,0.1831,0.4833,0.0381619880489657
37_miR145-SNAIL_0_1,4,0.2069,0.4937,0.0362098145917409
38_miR145-SNAIL_0_2,6,0.5255,0.7111,0.020442634202189
39_miR145-miR145_0_1,5,0.3549,0.7159,0.0154714027297891
40_miR145-miR145_0_2,4,0.282,0.4754,0.0341926241635043
41_miR145-miR200_0_1,5,0.4552,0.6338,0.0272520381890736
42_miR145-miR200_0_2,4,0.2234,0.5284,0.0377425309984896
43_miR200-Oct4_0_1,5,0.3814,0.6463,0.086948045503864
44_miR200-Oct4_0_2,5,0.3085,0.5293,0.0204086769184968
45_miR200-SNAIL_0_1,5,0.2622,0.5703,0.00916974221256231
46_miR200-SNAIL_0_2,6,0.4578,0.6937,0.0108042109805214
47_miR200-miR145_0_1,5,0.3056,0.5041,0.0192229333581002
48_miR200-miR145_0_2,5,0.31,0.6086,0.0495669839117911
49_miR200-miR200_0_1,5,0.404,0.6712,0.00184801358231226
50_miR200-miR200_0_2,4,0.2751,0.5619,0.00572853814465361
WT,4,0.31,0.579,0
