"pos_cycle","GRHL2_S_data.csv","GRHL2act_S_data.csv","NRF2_S_data.csv","OCT4_S_data.csv","OVOL_S_data.csv","OVOLinh_S_data.csv"
2,-0.406060606060606,NA,NA,NA,-0.0714285714285714,-0.19047619047619
3,-0.696428571428571,-0.293706293706294,NA,0.1,-0.432142857142857,-0.446428571428571
4,0.3,-0.635164835164835,NA,-0.581756589140301,0.357142857142857,-0.178571428571429
5,0.5,0,NA,-0.336633867070627,1,1
6,NA,-0.5,0.041958041958042,0.6,NA,NA
7,NA,NA,0.0787878787878788,NA,NA,NA
8,NA,NA,-0.369582327055529,NA,NA,NA
9,NA,NA,-0.225974025974026,NA,NA,NA
10,NA,NA,0.21491935483871,NA,NA,NA
11,NA,NA,-0.6,NA,NA,NA
