"JSD_tag","GRHL2_S_data.csv","GRHL2act_S_data.csv","NRF2_S_data.csv","OCT4_S_data.csv","OVOL_S_data.csv","OVOLinh_S_data.csv"
-10,NA,NA,NA,NA,NA,NA
-9,NA,NA,NA,NA,NA,NA
-8,NA,NA,NA,NA,NA,NA
-7,NA,NA,NA,0.333333333333333,NA,0.333333333333333
-6,0.000280180461548869,0.00147882337902629,0.355917683749582,0.158302423375458,0.537860849073946,0.0513167019494861
-5,0.0493130876736527,0.013635071373793,9.6456444017585e-05,0.00364154066712175,0.0956107807382796,0.00532271900042177
-4,0.0343165992063964,0.00804989310083769,0.0792809721468308,0.000513604110611618,0.00070232936381543,0.00542395034130872
-3,0.333333333333333,0.105572809000084,7.78142240119512e-07,0.0576688856224373,0.0513167019494861,NA
-2,NA,NA,0.0498575851013404,0.361454850201873,NA,0.333333333333333
-1,NA,NA,0.225403330758516,NA,NA,NA
