name,Total Positive cycles,Total Negative cycles,Frustration Boolean
5.45E+23,1576,1536,0.313305769
2.95E+23,1672,1440,0.302458519
2.91E+24,1552,1560,0.296910371
4.24E+24,1567,1545,0.314171198
1.44E+24,1513,1599,0.350310165
4.21E+24,1578,1534,0.31651287
2.66E+24,1496,1616,0.358276566
1.39E+24,1557,1555,0.326105391
1.72E+24,1556,1556,0.353957024
1.73E+24,1591,1521,0.324827528
8.56E+23,1570,1542,0.309675015
2.73E+24,1556,1556,0.356171471
5.01E+23,1563,1549,0.340647062
3.31E+24,1540,1572,0.347325471
6.20E+23,1555,1557,0.274613415
2.86E+24,1613,1499,0.289435895
9.36E+23,1582,1530,0.306498333
8.34E+23,1573,1539,0.319501205
4.18E+23,1550,1562,0.347685416
4.42E+24,1558,1554,0.356273342
2.75E+24,1574,1538,0.316469512
1.40E+23,1540,1572,0.324484709
7.63E+23,1575,1537,0.319560684
6.18E+23,1598,1514,0.316530488
3.80E+23,1563,1549,0.354974274
1.77E+24,1562,1550,0.318343699
1.25E+24,1581,1531,0.324809208
3.34E+24,1595,1517,0.31624371
2.15E+23,1560,1552,0.341788329
1.31E+24,1550,1562,0.354795308
2.71E+24,1558,1554,0.32812803
9.99E+23,1568,1544,0.335920676
2.03E+24,1546,1566,0.329945157
2.43E+24,1545,1567,0.343630702
3.44E+24,1528,1584,0.329855061
1.82E+24,1558,1554,0.328945122
5.30E+23,1537,1575,0.315240006
4.08E+24,1548,1564,0.35790421
4.65E+24,1540,1572,0.332957872
1.41E+24,1557,1555,0.313210135
3.07E+24,1549,1563,0.334877989
8.88E+23,1525,1587,0.390243902
9.99E+23,1580,1532,0.343588448
3.15E+24,1572,1540,0.336610988
5.26E+23,1579,1533,0.321600119
3.40E+23,1619,1493,0.315249601
1.84E+24,1553,1559,0.304713504
2.54E+23,1599,1513,0.279661315
1.27E+24,1569,1543,0.335378259
1.80E+23,1572,1540,0.304442156
1.66E+24,1551,1561,0.317073171
6.62E+23,1567,1545,0.354635367
1.68E+24,1541,1571,0.347578753
4.32E+24,1558,1554,0.327555559
3.86E+24,1556,1556,0.263287841
1.68E+24,1564,1548,0.320192853
2.44E+24,1525,1587,0.328130672
4.02E+23,1562,1550,0.302089625
6.69E+23,1572,1540,0.324026225
1.25E+24,1641,1471,0.339342205
3.92E+24,1582,1530,0.308678939
1.40E+23,1541,1571,0.308649866
2.49E+24,1610,1502,0.306556098
3.87E+24,1548,1564,0.313946059
6.70E+23,1531,1581,0.322717344
3.33E+24,1571,1541,0.344314986
4.21E+24,1518,1594,0.312353635
4.72E+24,1533,1579,0.300642021
2.44E+24,1564,1548,0.314760871
1.45E+24,1511,1601,0.341810799
4.48E+24,1548,1564,0.35093628
2.66E+24,1563,1549,0.349525122
4.90E+21,1580,1532,0.331242761
2.43E+24,1563,1549,0.3017736
1.02E+24,1504,1608,0.350678106
1.42E+24,1542,1570,0.329170477
3.73E+24,1573,1539,0.328237254
3.94E+24,1550,1562,0.340406004
1.33E+24,1570,1542,0.298932927
1.53E+24,1544,1568,0.353503475
1.99E+24,1446,1666,0.32480706
4.43E+24,1580,1532,0.341684962
2.30E+23,1546,1566,0.346957842
3.74E+23,1554,1558,0.322472351
9.09E+23,1554,1558,0.347596129
1.70E+23,1599,1513,0.315321955
2.56E+24,1556,1556,0.348242664
3.72E+24,1513,1599,0.316799621
3.38E+24,1518,1594,0.348988352
4.76E+22,1551,1561,0.322886585
1.07E+24,1557,1555,0.321241463
2.62E+24,1568,1544,0.316886121
3.81E+23,1558,1554,0.32891788
1.36E+24,1572,1540,0.312713435
2.26E+24,1645,1467,0.275541463
6.86E+23,1587,1525,0.316953731
1.94E+22,1583,1529,0.332409121
1.97E+24,1567,1545,0.341307263
2.95E+24,1526,1586,0.337459869
3.63E+24,1437,1675,0.257522998
2.50E+24,1519,1593,0.371847382
2.28E+23,1574,1538,0.317662972
3.52E+23,1563,1549,0.330132909
2.48E+24,1523,1589,0.252150226
1.86E+24,1509,1603,0.299118878
3.64E+24,1494,1618,0.331853917
6.19E+23,1564,1548,0.321093031
3.07E+23,1498,1614,0.36220065
3.03E+24,1621,1491,0.354354659
1.87E+23,1557,1555,0.303960976
1.98E+24,1527,1585,0.324926386
1.41E+24,1558,1554,0.322920854
4.12E+24,1517,1595,0.314427596
3.97E+24,1561,1551,0.343404562
1.71E+24,1553,1559,0.348420659
2.22E+24,1580,1532,0.353380257
7.28E+23,1513,1599,0.329106607
4.65E+23,1555,1557,0.338514276
4.57E+23,1544,1568,0.301914116
4.50E+24,1558,1554,0.344192274
2.59E+24,1563,1549,0.304310834
3.42E+24,1552,1560,0.330749496
9.53E+22,1591,1521,0.358056826
2.47E+24,1566,1546,0.313341886
9.86E+23,1530,1582,0.34155465
2.97E+24,1569,1543,0.319825261
2.31E+24,1546,1566,0.341812911
1.29E+24,1551,1561,0.31434627
6.87E+23,1429,1683,0.307338928
2.49E+24,1568,1544,0.283997561
3.65E+23,1552,1560,0.317064506
9.81E+22,1520,1592,0.28274708
3.71E+24,1582,1530,0.264230696
4.53E+24,1549,1563,0.35383739
4.02E+24,1565,1547,0.33946782
3.34E+24,1547,1565,0.35669052
1.93E+24,1525,1587,0.313259585
1.86E+24,1520,1592,0.306836704
6.67E+23,1562,1550,0.310648181
2.76E+24,1531,1581,0.354445732
6.95E+23,1563,1549,0.342637435
3.33E+24,1520,1592,0.315246691
3.87E+24,1590,1522,0.33999234
2.76E+24,1551,1561,0.333397773
2.40E+23,1540,1572,0.312217447
1.85E+24,1538,1574,0.312936649
3.98E+24,1540,1572,0.300687805
3.85E+24,1551,1561,0.332293592
2.78E+24,1572,1540,0.33071775
2.24E+24,1568,1544,0.281396341
4.60E+24,1557,1555,0.352057198
3.82E+23,1554,1558,0.306192771
1.96E+24,1551,1561,0.366489926
1.83E+24,1575,1537,0.333028762
3.41E+24,1584,1528,0.304878049
1.37E+24,1544,1568,0.334769906
8.87E+22,1551,1561,0.337915049
4.78E+24,1562,1550,0.343461835
1.85E+24,1580,1532,0.306770245
1.29E+24,1538,1574,0.330494997
8.79E+23,1552,1560,0.346656667
1.57E+24,1563,1549,0.327485487
2.37E+24,1588,1524,0.321827354
2.65E+24,1577,1535,0.334062056
1.50E+24,1561,1551,0.29707502
1.53E+24,1537,1575,0.344013932
3.64E+24,1520,1592,0.332247678
2.43E+24,1561,1551,0.339784095
3.04E+24,1556,1556,0.352089063
1.05E+24,1564,1548,0.330152922
3.11E+24,1578,1534,0.311430936
1.89E+24,1567,1545,0.325851302
9.83E+23,1532,1580,0.331083068
2.35E+24,1561,1551,0.402439024
4.19E+23,1567,1545,0.347942622
3.44E+22,1562,1550,0.319637774
3.57E+24,1585,1527,0.317287452
7.21E+23,1548,1564,0.318457038
1.21E+24,1575,1537,0.361293181
3.20E+24,1566,1546,0.344444686
2.80E+24,1557,1555,0.355172204
6.20E+23,1542,1570,0.326709112
2.98E+24,1559,1553,0.358326493
3.18E+24,1590,1522,0.302997561
2.87E+24,1572,1540,0.363801543
3.05E+24,1560,1552,0.327710169
3.58E+24,1550,1562,0.337120057
2.53E+24,1526,1586,0.321018651
2.61E+24,1567,1545,0.349792044
1.97E+24,1572,1540,0.342599878
4.23E+24,1558,1554,0.332777401
1.79E+24,1557,1555,0.309497334
2.50E+24,1548,1564,0.339472608
2.46E+24,1538,1574,0.323507373
1.29E+24,1559,1553,0.323036934
7.74E+23,1554,1558,0.325474906
1.69E+24,1546,1566,0.330426345
5.68E+22,1557,1555,0.307203313
2.85E+24,1553,1559,0.361987136
1.88E+23,1562,1550,0.348672674
1.29E+24,1543,1569,0.334984579
6.81E+23,1565,1547,0.329330832
3.51E+24,1546,1566,0.371263556
3.70E+23,1561,1551,0.320428837
2.19E+24,1551,1561,0.316590662
8.56E+22,1551,1561,0.360045661
3.04E+24,1562,1550,0.33285078
1.34E+24,1557,1555,0.322064132
4.35E+24,1499,1613,0.349540289
5.44E+23,1564,1548,0.336901983
3.75E+24,1564,1548,0.316089321
2.36E+23,1560,1552,0.316219427
2.47E+24,1561,1551,0.321246319
2.68E+24,1542,1570,0.34783424
2.29E+23,1555,1557,0.347428343
3.41E+23,1557,1555,0.334300169
3.33E+24,1581,1531,0.359759807
4.19E+22,1553,1559,0.337417089
4.44E+24,1565,1547,0.35262807
2.56E+24,1622,1490,0.308084903
3.27E+24,1541,1571,0.31975852
4.09E+24,1544,1568,0.320210987
6.35E+23,1562,1550,0.36056816
1.19E+22,1571,1541,0.294979395
4.31E+24,1575,1537,0.333907837
1.00E+24,1558,1554,0.369727827
3.42E+23,1509,1603,0.378933941
1.97E+24,1554,1558,0.318335506
1.57E+24,1616,1496,0.316187148
2.50E+24,1576,1536,0.353692026
4.36E+24,1562,1550,0.307679783
2.99E+24,1551,1561,0.34432484
3.33E+23,1531,1581,0.309198069
4.35E+24,1570,1542,0.303286929
1.48E+24,1551,1561,0.36625939
1.82E+24,1571,1541,0.348698215
2.56E+24,1564,1548,0.309807359
2.79E+23,1564,1548,0.257074683
1.07E+24,1544,1568,0.336924843
1.83E+24,1568,1544,0.289242683
3.08E+24,1560,1552,0.361529825
3.07E+24,1541,1571,0.362006261
4.35E+24,1588,1524,0.352858341
1.08E+24,1550,1562,0.310568356
1.24E+23,1573,1539,0.324526829
2.61E+24,1544,1568,0.327935601
1.49E+24,1558,1554,0.368855766
1.79E+23,1555,1557,0.366611344
4.78E+23,1541,1571,0.34672383
1.60E+24,1581,1531,0.34486742
4.87E+23,1559,1553,0.312980488
5.00E+23,1578,1534,0.337668517
2.50E+24,1554,1558,0.332051393
2.21E+22,1558,1554,0.335303869
4.17E+24,1500,1612,0.32685547
1.08E+23,1575,1537,0.356031808
6.05E+23,1551,1561,0.332577191
4.24E+24,1540,1572,0.335552952
3.71E+24,1508,1604,0.304293844
3.02E+24,1545,1567,0.365789726
1.59E+24,1564,1548,0.352902604
2.43E+24,1549,1563,0.288553406
3.99E+24,1563,1549,0.322563221
1.26E+24,1532,1580,0.288603659
2.58E+24,1560,1552,0.307808295
6.84E+23,1557,1555,0.358244263
1.07E+24,1549,1563,0.312508946
4.56E+24,1561,1551,0.316212191
1.37E+24,1566,1546,0.346120171
9.10E+23,1564,1548,0.320359478
2.36E+24,1564,1548,0.315732875
1.39E+24,1558,1554,0.378440923
2.14E+24,1560,1552,0.335275665
1.73E+23,1548,1564,0.33411452
6.25E+23,1534,1578,0.34417642
2.79E+24,1559,1553,0.305257317
3.14E+24,1550,1562,0.364954625
3.34E+24,1562,1550,0.31217034
2.63E+24,1560,1552,0.352585074
2.14E+24,1479,1633,0.328417843
4.37E+23,1547,1565,0.344522745
4.31E+22,1552,1560,0.322195507
1.41E+24,1520,1592,0.329833459
3.33E+24,1608,1504,0.287823303
6.20E+23,1552,1560,0.353310292
1.87E+23,1567,1545,0.332082307
8.86E+23,1570,1542,0.338308564
1.70E+24,1561,1551,0.351661897
2.49E+24,1539,1573,0.289656775
3.25E+24,1556,1556,0.344085607
2.85E+24,1539,1573,0.317760145
1.14E+24,1570,1542,0.3033348
9.24E+23,1504,1608,0.293459635
1.80E+24,1553,1559,0.345547675
3.69E+23,1524,1588,0.342729147
2.46E+24,1583,1529,0.36221503
5.95E+23,1596,1516,0.302609543
2.73E+24,1552,1560,0.301862195
1.30E+24,1546,1566,0.32420702
3.18E+24,1530,1582,0.328730654
2.91E+24,1551,1561,0.314837914
3.95E+24,1543,1569,0.32660791
4.77E+24,1572,1540,0.304568293
1.21E+24,1452,1660,0.30725649
1.61E+23,1562,1550,0.305533483
1.88E+24,1562,1550,0.332750929
4.94E+23,1561,1551,0.312957317
4.27E+24,1531,1581,0.283143466
1.87E+23,1561,1551,0.306381707
3.12E+24,1545,1567,0.346774145
8.31E+22,1557,1555,0.34769628
9.85E+23,1594,1518,0.305433431
2.81E+24,1558,1554,0.353146701
7.18E+23,1536,1576,0.318916193
4.59E+24,1570,1542,0.328995183
3.07E+23,1566,1546,0.308097401
4.33E+24,1536,1576,0.32331326
3.42E+24,1583,1529,0.341463415
2.72E+24,1532,1580,0.311880618
2.62E+24,1531,1581,0.310941702
Wild,3111,1,0.064060976
2.47E+24,1500,1612,0.312202689
1.22E+24,1557,1555,0.309490559
3.70E+24,1569,1543,0.302869071
3.19E+24,1536,1576,0.33931688
9.30E+22,1547,1565,0.353919931
3.32E+23,1556,1556,0.320983915
1.32E+23,1576,1536,0.30978541
5.88E+23,1556,1556,0.297026323
1.58E+24,1559,1553,0.318352097
2.44E+24,1567,1545,0.35221464
1.30E+24,1555,1557,0.314877323
1.46E+24,1562,1550,0.341317704
1.30E+24,1583,1529,0.343557983
3.12E+24,1565,1547,0.294392721
2.65E+24,1542,1570,0.292119415
1.28E+24,1549,1563,0.309143536
1.14E+24,1525,1587,0.366612054
5.04E+22,1569,1543,0.323182877
4.10E+24,1558,1554,0.340072198
2.07E+24,1552,1560,0.324156644
3.51E+24,1549,1563,0.369380828
2.33E+24,1541,1571,0.298703659
1.22E+24,1543,1569,0.361398633
2.58E+24,1549,1563,0.353474379
1.55E+24,1513,1599,0.414634146
6.13E+23,1564,1548,0.344925447
1.39E+24,1559,1553,0.362443559
6.35E+23,1559,1553,0.301554944
4.43E+23,1533,1579,0.326920853
1.81E+24,1570,1542,0.333168454
3.39E+24,1563,1549,0.301208084
4.72E+24,1546,1566,0.330955296
2.90E+24,1551,1561,0.341578401
3.73E+23,1632,1480,0.32242842
1.86E+24,1528,1584,0.380680555
3.41E+23,1549,1563,0.367502084
4.59E+24,1551,1561,0.336050492
2.58E+24,1565,1547,0.28835
3.38E+24,1551,1561,0.311609217
2.05E+24,1578,1534,0.323483021
8.81E+23,1603,1509,0.324830937
2.12E+24,1493,1619,0.336430322
3.33E+24,1561,1551,0.305268948
4.50E+24,1554,1558,0.318400347
3.10E+24,1590,1522,0.330990234
3.64E+24,1543,1569,0.310835366
1.97E+24,1566,1546,0.337301072
3.23E+24,1584,1528,0.290871377
3.66E+23,1516,1596,0.353192714
3.03E+24,1579,1533,0.309388493
1.31E+24,1541,1571,0.350018247
3.07E+24,1567,1545,0.32247493
1.28E+24,1558,1554,0.345475118
9.51E+23,1549,1563,0.295549509
3.79E+24,1561,1551,0.255667161
1.81E+24,1551,1561,0.322117712
3.10E+23,1555,1557,0.32660061
1.25E+24,1572,1540,0.334218237
1.43E+24,1523,1589,0.361717222
4.17E+24,1574,1538,0.314540307
3.73E+24,1559,1553,0.33433295
7.20E+23,1565,1547,0.307922303
2.74E+24,1559,1553,0.353161194
1.79E+24,1579,1533,0.322138301
3.89E+24,1558,1554,0.335739439
1.32E+23,1555,1557,0.308825934
2.80E+24,1556,1556,0.346352308
3.69E+24,1557,1555,0.346796098
3.11E+24,1577,1535,0.299760102
1.92E+23,1546,1566,0.326702748
2.59E+24,1575,1537,0.327929196
7.85E+23,1551,1561,0.31231362
4.26E+24,1549,1563,0.352947961
1.67E+23,1542,1570,0.353658537
9.39E+23,1558,1554,0.30951274
4.47E+22,1633,1479,0.324491139
4.73E+24,1566,1546,0.325272068
4.44E+24,1558,1554,0.342602439
2.85E+24,1569,1543,0.337716409
3.10E+24,1535,1577,0.309527767
1.00E+24,1590,1522,0.304586619
2.37E+23,1531,1581,0.33218783
1.24E+24,1583,1529,0.323212108
4.62E+24,1545,1567,0.328430159
3.80E+24,1553,1559,0.328774482
4.21E+24,1520,1592,0.30683617
4.89E+23,1561,1551,0.30915742
4.57E+24,1528,1584,0.332968419
2.57E+23,1561,1551,0.340908469
1.77E+24,1548,1564,0.325476829
3.40E+24,1543,1569,0.346369118
2.97E+24,1576,1536,0.319927027
3.18E+24,1512,1600,0.348460069
1.43E+24,1525,1587,0.332058636
3.06E+24,1592,1520,0.289331707
4.31E+24,1549,1563,0.303960202
4.29E+22,1555,1557,0.352753786
7.09E+23,1565,1547,0.320919135
2.47E+24,1553,1559,0.340690588
2.38E+23,1546,1566,0.313053491
3.36E+23,1582,1530,0.309959756
4.11E+24,1564,1548,0.294587805
2.20E+24,1575,1537,0.329295565
2.09E+24,1561,1551,0.302556098
9.83E+23,1565,1547,0.30823727
1.24E+24,1552,1560,0.32872251
1.11E+24,1594,1518,0.279227737
1.86E+24,1556,1556,0.335181482
1.07E+24,1587,1525,0.329945335
1.08E+24,1579,1533,0.326141338
1.95E+24,1553,1559,0.341463415
2.46E+24,1566,1546,0.333482
4.51E+24,1544,1568,0.332388429
4.35E+24,1530,1582,0.356716277
1.42E+24,1551,1561,0.348828657
4.55E+24,1576,1536,0.32547743
3.68E+24,1524,1588,0.293232926
2.44E+24,1558,1554,0.328007919
WT,3111,1,0.06295
7.83E+22,1566,1546,0.35654627
9.08E+23,1666,1446,0.360356735
1.86E+24,1564,1548,0.334560283
4.16E+24,1593,1519,0.278981887
3.26E+24,1551,1561,0.324180385
5.38E+23,1567,1545,0.311647002
1.99E+24,1552,1560,0.33419992
1.12E+24,1547,1565,0.346884383
1.19E+23,1575,1537,0.324952912
6.44E+23,1571,1541,0.306827509
2.43E+23,1506,1606,0.320321536
2.50E+22,1562,1550,0.352546795
2.72E+24,1556,1556,0.347480075
6.97E+23,1599,1513,0.340480887
1.29E+24,1545,1567,0.302751032
2.15E+23,1594,1518,0.311562216
8.34E+23,1569,1543,0.338313281
3.48E+24,1554,1558,0.358342216
1.33E+24,1576,1536,0.345046059
1.52E+23,1555,1557,0.335873186
4.80E+24,1528,1584,0.375146934
1.44E+24,1521,1591,0.323361592
4.14E+24,1553,1559,0.332554604
2.49E+24,1544,1568,0.336083046
3.14E+23,1560,1552,0.319778155
2.43E+24,1557,1555,0.31495321
1.64E+24,1542,1570,0.336731571
4.79E+24,1528,1584,0.291842683
3.35E+24,1554,1558,0.281531279
3.37E+24,1561,1551,0.353037044
1.55E+24,1563,1549,0.321152439
9.40E+23,1559,1553,0.334748886
1.84E+24,1555,1557,0.345411355
2.75E+24,1565,1547,0.330523856
3.89E+23,1550,1562,0.335068838
8.03E+23,1535,1577,0.341000727
4.05E+24,1582,1530,0.324730814
3.78E+24,1533,1579,0.339385737
1.86E+24,1542,1570,0.344302554
1.10E+24,1605,1507,0.299978844
1.59E+24,1582,1530,0.323688745
1.52E+24,1405,1707,0.312783376
3.18E+23,1565,1547,0.328146172
1.59E+23,1556,1556,0.346509902
1.12E+24,1544,1568,0.305301262
1.59E+23,1555,1557,0.345657828
2.19E+24,1553,1559,0.341297055
2.87E+24,1558,1554,0.325924603
1.52E+24,1547,1565,0.303894333
3.05E+24,1552,1560,0.34666011
2.91E+24,1556,1556,0.27452561
1.54E+24,1552,1560,0.296079407
2.84E+24,1567,1545,0.329487736
3.15E+24,1557,1555,0.330776292
7.44E+22,1533,1579,0.301489024
4.49E+24,1557,1555,0.333013228
4.65E+22,1555,1557,0.362178365
2.14E+24,1569,1543,0.305841463
