Frus-range,core,GRHL2,GRHL2wa,OVOL,OVOLnr,OCT4,NRF2
0.0-0.1,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.1-0.2,"(None, None)","(nan, nan)","(None, None)","(None, None)","(None, None)","(0.9486832980505137, 0.013846832988859107)","(-0.3032145887096191, 0.13212741834028643)"
0.2-0.3,"(nan, nan)","(0.8660254037844388, 0.011724811003954599)","(0.8894991799933214, 2.063290599386329e-05)","(0.5409627460747113, 0.10637420087750149)","(0.5853694070049635, 0.04554128410546252)","(0.7883056378815794, 1.2898303585324996e-10)","(0.6126407200614649, 1.560651558990419e-26)"
0.3-0.4,"(None, None)","(0.8728715609439696, 0.004659214943993925)","(0.705243518972441, 0.0005144116342246606)","(0.3464101615137754, 0.3611134216129303)","(0.8690481892534817, 0.00024243082443224773)","(0.7639268047402805, 3.968136607848392e-09)","(0.6845721739189093, 1.1452699494722484e-34)"
0.4-0.5,"(1.0, 0.0)","(None, None)","(0.3886501653787775, 0.21182446931281423)","(0.8773190096473714, 8.154811096912874e-05)","(None, None)","(0.4926223377768894, 0.023280666910545283)","(0.7879378836035154, 4.850670807007283e-06)"
0.5-0.6,"(None, None)","(None, None)","(0.9797958971132713, 0.0006081849444633318)","(None, None)","(None, None)","(None, None)","(None, None)"
0.6-0.7,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.7-0.8,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.8-0.9,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.9-1.0,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
