#pfb,core,GRHL2,GRHL2wa,OVOL,OVOLnr,OCT4,NRF2
0,"(None, None)","(None, None)","(nan, nan)","(None, None)","(None, None)","(None, None)","(None, None)"
1,"(nan, nan)","(nan, nan)","(nan, nan)","(0.29277002188455997, 0.5733922538253555)","(-0.8783100656536799, 0.021311641128756727)","(-0.3175228743624251, 0.19915577509993884)","(None, None)"
2,"(None, None)","(-0.4076871241636057, 0.36394248359194614)","(0.02151035098591617, 0.9282768477422354)","(-0.31486880929507033, 0.345628197468124)","(0.15256428831468233, 0.6951640920239028)","(-0.5609733906423094, 0.00020333001068584733)","(-0.24559730231879628, 0.3973626522299142)"
3,"(None, None)","(-0.5, 0.6666666666666667)","(0.24848484848484845, 0.48877630451924314)","(0.4553443512934062, 0.1368803470320521)","(0.8580986734247602, 0.003076114526072665)","(0.004549213305224303, 0.9786813710304736)","(-0.38092591595910963, 0.026240637538033258)"
4,"(None, None)","(None, None)","(None, None)","(0.8660254037844387, 0.3333333333333332)","(None, None)","(-0.009385286068822022, 0.9705166479129075)","(-0.6035482430993889, 3.921324472445785e-09)"
5,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.480471814268205, 4.83209151452267e-09)"
6,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.3254718621303241, 3.384746117133541e-05)"
7,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.547793978173725, 2.0951378652499234e-07)"
8,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.10428356468261495, 0.5974286645750548)"
9,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(0.24924127290882647, 0.4874104156153496)"
