"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd","nLoopCount","nLoopLengthAvg","nLoopLengthStd"
"1","Snai2,Snai2",1,1,0.125988157669742,0,0,0
"2","Cdh1,Ctnnb1",50,8.06,3.74828856662603,36,8.02777777777778,2.57366573864627
"3","Ctnnb1,Snai2",25,8.16,4.1956747533555,24,8.16666666666667,4.27770029015638
"4","Grhl2,Trp63",10,7.4,2.83719353916849,6,8.5,3.16463836616764
"5","Irf6,Cdh1",32,8.6875,4.54594793207385,24,8.91666666666667,4.48071575261822
"6","Snai2,Twist1",25,8.2,4.21582370158512,0,0,0
"7","Trp63,Irf6",27,8.37037037037037,4.36124767822281,18,9.05555555555556,4.67834513786857
"8","Twist1,Zeb1",22,7.72727272727273,3.87146267530604,11,9,4.2205384163008
"9","Zeb1,Grhl2",21,7.95238095238095,3.90268199823069,15,7.93333333333333,4.04148121516329
"10","Grhl2,Irf6",9,9.11111111111111,3.23606152815884,6,8.5,3.16463836616764
"11","Grhl2,Hmgn3",10,9.6,3.56893922460723,6,9.83333333333333,3.64430224234632
"12","Hmgn3,Trp63",10,9.6,3.56893922460723,6,9.83333333333333,3.64430224234632
"13","Dlx3,Trp63",10,8,3.03849681217937,6,8.83333333333333,3.34130152408043
"14","Grhl2,Dlx3",10,8,3.03849681217937,6,8.83333333333333,3.34130152408043
"15","Grhl2,Cdh1",8,6.75,2.37498484108672,6,6.33333333333333,2.38236766173395
"16","Zeb1,Cdh1",4,7.75,1.95821689688823,3,6.66666666666667,1.88503125080215
"17","Esrp1,Grhl2",22,8.59090909090909,4.30303718694808,15,8.86666666666667,4.51274471523317
"18","Zeb1,Esrp1",21,8.57142857142857,4.24969502836396,15,8.86666666666667,4.51274471523317
"19","Snai1,Cdh1",2,8,1.42521366783228,2,6,1.43518080898568
"20","Twist1,Snai1",25,8.64,4.41300967344059,0,0,0
"21","Snai1,Zeb1",22,8.77272727272727,4.35842904471774,22,7.86363636363636,4.13748434092605
"22","Twist1,Cdh1",2,4,0.729384705166677,1,5,0.811107105653813
"23","Snai2,Cdh1",2,8,1.41385145417042,0,0,0
"24","Ctnnb1,Lef1",25,7.96,4.15120017315766,12,7.75,3.77543531351596
"25","Lef1,Twist1",25,7.96,4.15120017315766,12,7.75,3.77543531351596
"26","Twist1,Snai2",2,8.5,1.50489898070944,13,7.84615384615385,3.89806093970014
"27","Snai1,Twist1",1,7,0.881917103688197,13,8.69230769230769,4.30892751505688
"28","Grhl2,Zeb1",2,7.5,1.35258755264035,0,0,0
"29","Irf6,Grhl2",4,7.5,1.89955124460373,0,0,0
"30","Trp63,Grhl2",3,8,1.7818852957958,0,0,0
"31","Grhl2,Esrp1",1,9,1.13389341902768,0,0,0
"32","Snai1,Snai1",0,0,0,1,1,0.162221421130763
"33","Snai2,Snai1",0,0,0,37,8.05405405405405,2.24843868699165
