"States","Method","Frequency"
"""001100""","RACIPE",0.0392333333333332
"""001001""","RACIPE",0.0063
"""101101""","RACIPE",0.101250000000001
"""101100""","RACIPE",0.0401749999999999
"""110010""","RACIPE",0.107511666666666
"""010010""","RACIPE",0.104758333333333
"""001101""","RACIPE",0.101416666666667
"""010111""","RACIPE",0.00480000000000001
"""110000""","RACIPE",0.00101666666666667
"""100101""","RACIPE",0.00701666666666666
"""000010""","RACIPE",0.0417833333333332
"""100011""","RACIPE",0.0154583333333334
"""110011""","RACIPE",0.0424983333333331
"""111100""","RACIPE",0.015875
"""011101""","RACIPE",0.0418333333333331
"""010011""","RACIPE",0.0399666666666665
"""100010""","RACIPE",0.0424249999999999
"""001111""","RACIPE",0.00535
"""111001""","RACIPE",0.0036
"""110001""","RACIPE",0.002675
"""010000""","RACIPE",0.00175833333333333
"""111101""","RACIPE",0.0400949999999998
"""110110""","RACIPE",0.0122716666666667
"""000101""","RACIPE",0.00787499999999999
"""101001""","RACIPE",0.00809999999999999
"""101011""","RACIPE",0.00291666666666667
"""000011""","RACIPE",0.0152333333333334
"""111110""","RACIPE",0.00215
"""010001""","RACIPE",0.00255833333333333
"""100001""","RACIPE",0.00135833333333333
"""011010""","RACIPE",0.004425
"""111000""","RACIPE",0.0022
"""011001""","RACIPE",0.00450833333333334
"""110101""","RACIPE",0.011895
"""000110""","RACIPE",0.00410833333333334
"""100100""","RACIPE",0.00235
"""101110""","RACIPE",0.00341666666666667
"""101111""","RACIPE",0.0055
"""011011""","RACIPE",0.00238333333333333
"""000100""","RACIPE",0.002775
"""000001""","RACIPE",0.00143333333333333
"""001010""","RACIPE",0.00633333333333334
"""100111""","RACIPE",0.00276666666666667
"""011100""","RACIPE",0.01535
"""101000""","RACIPE",0.002925
"""011000""","RACIPE",0.00241666666666667
"""110111""","RACIPE",0.00671666666666667
"""111011""","RACIPE",0.00224166666666667
"""111010""","RACIPE",0.00385
"""010100""","RACIPE",0.00464166666666667
"""100000""","RACIPE",0.00126666666666667
"""001110""","RACIPE",0.00333333333333333
"""000111""","RACIPE",0.0027
"""010101""","RACIPE",0.01125
"""101010""","RACIPE",0.00535
"""010110""","RACIPE",0.00760833333333332
"""011111""","RACIPE",0.00295
"""000000""","RACIPE",0.000966666666666667
"""110100""","RACIPE",0.00364166666666667
"""001000""","RACIPE",0.00325
"""100110""","RACIPE",0.00288333333333333
"""111111""","RACIPE",0.00330333333333333
"""001011""","RACIPE",0.00266666666666666
"""011110""","RACIPE",0.00193333333333333
"""001100""","Boolean",0
"""001001""","Boolean",0
"""101101""","Boolean",0
"""101100""","Boolean",0
"""110010""","Boolean",0
"""010010""","Boolean",0
"""001101""","Boolean",0
"""010111""","Boolean",0
"""110000""","Boolean",0
"""100101""","Boolean",0
"""000010""","Boolean",0
"""100011""","Boolean",0
"""110011""","Boolean",0
"""111100""","Boolean",0
"""011101""","Boolean",0
"""010011""","Boolean",0
"""100010""","Boolean",0
"""001111""","Boolean",0
"""111001""","Boolean",0
"""110001""","Boolean",0
"""010000""","Boolean",0
"""111101""","Boolean",0
"""110110""","Boolean",0
"""000101""","Boolean",0
"""101001""","Boolean",0
"""101011""","Boolean",0.0819933554817276
"""000011""","Boolean",0
"""111110""","Boolean",0
"""010001""","Boolean",0
"""100001""","Boolean",0
"""011010""","Boolean",0
"""111000""","Boolean",0
"""011001""","Boolean",0
"""110101""","Boolean",0
"""000110""","Boolean",0
"""100100""","Boolean",0.341528239202658
"""101110""","Boolean",0
"""101111""","Boolean",0
"""011011""","Boolean",0.341926910299003
"""000100""","Boolean",0
"""000001""","Boolean",0
"""001010""","Boolean",0
"""100111""","Boolean",0.0770764119601329
"""011100""","Boolean",0
"""101000""","Boolean",0
"""011000""","Boolean",0.0710963455149502
"""110111""","Boolean",0
"""111011""","Boolean",0
"""111010""","Boolean",0
"""010100""","Boolean",0.0863787375415282
"""100000""","Boolean",0
"""001110""","Boolean",0
"""000111""","Boolean",0
"""010101""","Boolean",0
"""101010""","Boolean",0
"""010110""","Boolean",0
"""011111""","Boolean",0
"""000000""","Boolean",0
"""110100""","Boolean",0
"""001000""","Boolean",0
"""100110""","Boolean",0
"""111111""","Boolean",0
"""001011""","Boolean",0
"""011110""","Boolean",0
